Street,FA,Count of Uid,Lat,Lng
109 71st Road,FA11,1,"407,099,754","-738,500,875"
109-05 72nd Avenue,FA3,9,"407,210,313","-738,415,759"
109-05 72nd Avenue,FA11,2,"407,210,313","-738,415,759"
109-15 Queens Boulevard,FA3,11,"407,206,441","-738,410,999"
109-20 71st Road,FA11,6,"40,721,255","-73,842,001"
109-20 71st Road,Mitch,2,"40,721,255","-73,842,001"
109-20 Queens Boulevard,FA3,8,"407,198,175","-738,412,403"
109-33 71st Road,FA11,6,"40,721,533","-73,842,327"
110 1st St,Mitch,20,"407,216,522","-740,379,114"
110 Broadway,Mitch,7,"407,102,352","-739,649,074"
110 Gray Street,Houston FA 1,5,"297,526,869","-953,783,525"
110 River Dr,Mitch,27,"407,302,351","-740,316,769"
110 Washington Street,FA6,1,"407,089,534","-740,144,082"
110 Washington Street,FA16,2,"407,089,534","-740,144,082"
110-01 62nd Drive,FA11,1,"407,371,936","-738,488,746"
110-07 73rd Road,FA3,9,"4,071,821","-738,397,142"
110-11 Queens Blvd,FA11,1,"407,201,292","-738,398,387"
110-20 73rd Road,FA3,8,"407,182,073","-738,388,095"
110-21 73rd Road,FA3,8,"407,185,326","-738,394,712"
110-33 72nd Avenue,FA11,3,"40,721,523","-738,397,144"
110-34 73rd Road,FA3,7,"407,186,706","-738,388,829"
110-40 72nd Avenue,FA11,4,"407,210,928","-738,397,312"
110-48 72nd Avenue,FA11,2,"407,212,563","-738,391,387"
110-56 71st Avenue,FA11,3,"407,226,738","-738,394,879"
111 Montgomery St,Mitch,5,"40,666,873","-73,960,886"
111 Murray Street,FA16,1,"40,715,351","-740,128,441"
113 Liberty View Drive,Mitch,1,"407,159,795","-740,472,778"
113 South 6th Street,Mitch,6,"407,106,729","-739,640,061"
115 E 9th St,FA16,5,"407,304,139","-739,897,486"
115 Morris St,Mitch,9,"407,136,753","-74,038,917"
115 Ocean Avenue,FA3,3,"406,603,441","-739,622,078"
116 John St,Mitch,7,"407,075,799","-740,057,804"
117 Beekman Street,Mitch,2,"407,077,408","-740,034,103"
117 East 118th Street,Mitch,1,"408,004,674","-739,413,374"
119-14 Union Turnpike,FA10,1,"407,128,749","-73,832,987"
119-49 Union Turnpike,FA3,6,"407,142,242","-73,832,155"
120 Greenwich St,Mitch,6,"407,091,285","-740,132,811"
120 York St,FA8,5,"407,163,541","-740,386,985"
121 Bedford Avenue,Mitch,1,"407,195,825","-739,555,416"
121 Garabrant Street,FA2,19,"407,125,136","-740,559,926"
121 Madison Avenue,Mitch,1,"407,452,302","-73,984,434"
123 82nd Avenue,FA3,3,"407,137,442","-738,257,564"
123 Gates Avenue,FA11,1,"406,849,015","-739,634,085"
123 Melrose St,FA8,1,"406,995,525","-73,933,491"
123 River Street,Mitch,6,"407,161,479","-740,482,344"
125-1 Queens Boulevard,FA3,1,"407,127,675","-738,254,258"
125-01 Queens Boulevard,FA3,1,"407,126,104","-738,258,713"
125-10 Queens Blvd,FA3,26,"407,119,297","-73,826,361"
126 Clifton Pl,FA2,2,"407,220,062","-740,646,118"
126 Dudley Street,Mitch,5,"407,127,927","-740,400,882"
130 Avenue P,FA3,2,"406,075,707","-739,830,579"
130 Water Street,Mitch,9,"407,056,932","-740,071,228"
130 William St,FA12,2,"407,091,434","-740,064,461"
130 William St,Mitch,16,"407,091,434","-740,064,461"
131 Dudley St,FA8,10,"407,123,955","-740,407,134"
135 Avenue P,FA3,2,"406,080,123","-739,829,111"
135 Foremost Drive,Mitch,7,"30,178,211","-977,814,459"
135 North 11th Street,Mitch,2,"407,206,415","-739,559,113"
135-09 83rd Avenue,FA3,5,"407,127,903","-738,218,527"
135-105 62nd Road,FA11,1,"407,410,737","-738,301,497"
136 East 55th Street,Mitch,1,"407,593,734","-739,698,465"
136 Summit Avenue,FA11,14,"407,199,054","-740,667,734"
138 Cumberland Walk,Mitch,1,"406,939,815","-739,741,193"
139 Broadway,Mitch,2,"407,104,854","-739,635,124"
140 Bay Street,FA3,3,"407,208,664","-740,392,383"
140-10 84th Drive,FA3,7,"407,095,956","-738,164,123"
140-17 84th Drive,FA3,6,"407,100,245","-738,166,181"
141-28 84th Drive,FA3,1,"407,103,499","-738,155,224"
141-40 84th Drive,FA3,3,"407,105,382","-738,152,856"
141-141 82nd Drive,FA3,3,"407,134,862","-738,168,074"
144 Summit Avenue,FA11,2,"407,199,578","-740,666,789"
145 East 82nd Street,Mitch,3,"407,769,363","-739,572,331"
145 W 67th St,FA5,9,"407,756,232","-739,833,932"
147-44 73rd Avenue,FA8,1,"407,255,443","-73,817"
149 Essex Street,FA3,1,"40,713,321","-740,411,152"
150 50th Avenue,FA5,1,"407,432,991","-739,589,292"
150 50th Avenue,Mitch,10,"407,433,161","-739,590,139"
150 55th Street,Mitch,1,"406,466,634","-740,209,235"
150 N 12th St,Mitch,9,"407,210,931","-739,558,663"
150 Nassau St,Mitch,1,"407,114,624","-740,059,409"
150 W End Ave,FA5,10,"407,766,541","-739,861,709"
150-22 72nd Drive,FA8,1,"40,726,594","-73,815,942"
150-42 72nd Drive,FA8,1,"407,268,883","-738,154,116"
153-27 73rd Avenue,FA8,1,"407,270,405","-738,134,342"
155 Borden Ave,Mitch,29,"407,426,494","-739,591,442"
155 W 68th St,FA5,24,"407,761,226","-739,827,255"
155 W 68th St,FA14,14,"407,761,226","-739,827,255"
155 Washington St,Mitch,9,"40,711,899","-740,394,678"
158 Wayne Street,FA8,11,"407,210,985","-740,492,876"
158 Wayne Street,Mitch,9,"407,210,985","-740,492,876"
160 1St St,FA3,18,"407,217,206","-740,402,298"
160 Morgan St,FA11,14,"407,202,352","-74,040,584"
160 Riverside Blvd,FA5,13,"407,775,972","-739,884,665"
160 Riverside Blvd,FA14,4,"407,775,972","-739,884,665"
160 West 97th Street,FA14,6,"407,942,692","-739,691,767"
163 Ocean Avenue,FA3,1,"406,587,437","-73,962,158"
164 West 25th Street,FA3,1,"407,450,405","-739,943,714"
164-30 Hillside Avenue,FA3,2,"407,089,683","-737,977,628"
165 North 10th Street,Mitch,2,"407,193,369","-739,554,037"
165 Vroom Street,FA11,4,"407,290,775","-74,068,107"
165 W 66th St,FA5,2,"407,747,695","-739,839,605"
